#ID,ID_strumento,Azione,NumeroValore,Borsa,Domestico,Eliminazione,Ticker,BenchmarkVAR,Strike,NumeroValoreSottostante,Maturity,Tipo,Posizione,Ratio,ISIN,rowguid
1673,1,OCEAN STRATEGIES,020232,NYSE,0,0,battle7,,,,,Azioni,,,,02F2B493-4E58-438B-A8EA-D355650F293F
1686,1,KINGATE GLOBAL FUND SHS USD,030711,NYSE,0,0,battle18,,,,,Azioni,,,,DD711EC3-CEF8-4848-AAE4-6AAC0C4EBEB9
380,1,AVENTIS,0511029EU,CACEU,0,0,AVE.PA,,,,,Azioni,,,,36222EA5-960E-429C-A219-A0E03C557CDA
159,1,Adidas Salomon,059053EU,DAXEU,0,0,ADS.XE,,,,,Azioni,,,DE0005003404,C0815097-53D1-41C0-B57E-2B43662B58A5
1286,14,Fondi Azionari GAM STAR Europa CHF CL,1001319CH,ZH,0,0,1001319CH,,,,,Azioni,,,IE0008505517,0A49AE7F-C3D8-4A53-A054-9897DF0C53AA
1870,29,Orpheus NV Fund Reserve Inv USD,10020132US,NYSE,0,0,10020132US,,,,,Investimenti alternativi,,,ANN681723162,88C7A0E3-18AC-4C07-9AFB-DB95575F2351
1602,1,Swissca Lux Fund FCP,1002623,DAXEU,0,0,palace44,,,,,Azioni,,,,BA296C4B-CAC1-4A65-B09E-AC042E1C0A80
1725,1,DH Global Inv Euro Leaders,1002805,DAXEU,0,0,bianchi16,,,,,Azioni,,,,904E6074-3831-4C66-9A9A-52F1D2A0D93C
1848,1,Rights on Gas Natural,10037456EU,IBEXEU,0,0,GAS.D.MAC,,,,,Azioni,,,ES0616870905,0FB67FB4-9D93-4B9C-84C1-6279855340A5
1849,30,Rights on Royal Bank of Scotland,10043207GB,LDN,0,0,10043207GB,,,,,Azioni,,,GB00B60SSF69,21D2183B-B3E9-488B-9B4F-D6C5033908A6
1869,29,GEMS PROGRESSIVE FD SICAV LOW VOLATILITY RESERVE POOL,10063727CH,ZH,0,0,10063727CH,,,,,Investimenti alternativi,,,LU0420741950,A1A56252-DC55-49FA-8A9A-AF23C3DB6D44
382,1,Miracle HDL N,1009374CH,ZH,1,0,MIRZn.S,,,,,Azioni,,,,07FCD345-E4EC-4812-B7DD-1E7A930E207C
1611,1,Thomson,1010505,CACEU,0,0,palace51,,,,,Azioni,,,,EACE844C-0FB7-4E47-81EE-CC87C92DB804
540,1,HILTI PS,101097CH,ZH,1,0,HILP.S,,,,,Azioni,,,,F7A6735D-F1BC-4CB6-A7C5-E9795CD4CF00
1797,1,Eircom Holdings Ltd,10118406,SYD,0,0,ERC.AX,,,,,Azioni,,,AU000000ERC5,8FE32278-1602-42DC-AD18-8CDDBBF525ED
1641,1,Beni Stabili Spa,1012978,MIBEU,0,0,bigmac21,,,,,Azioni,,,,139D9C56-111D-45CD-A427-BD7B908218B9
1549,29,Platinum All Star Fund,10175424,DAXEU,0,0,10175424,,,,,Investimenti alternativi,,,KYG7126M1160,4BB7FE5F-D897-4E76-ABEC-5DF102F6C88C
1628,1,Gothard Nassau Slam Notes Lkd To Nokja,1019076,DAXEU,0,0,bigmac9,,,,,Azioni,,,,A5275E32-D802-4AB8-AA59-B27E8A73780F
486,1,FREENET.DE AG,1020957EU,DAXEU,0,0,FRNG.F,,,,,Azioni,,,,4CE78571-ECDD-4C35-AC82-4C005C7A6973
1840,14,PF-Water P Cap,1021903EU,DAXEU,0,0,1021903EU,,,,,Azioni,,,LU0104884860,8029C98E-8E63-494E-A09A-836CDD991360
897,1,Seat Pagine Gialle SpA,1025580EU,MIBEU,0,0,PGR.MI,,,,,Azioni,,,IT0003479646,C17C5C86-9DAC-4610-A709-4B5626FB3854
418,1,DT Telekom N,1026592EU,DAXEU,0,0,DTE.XE,,,,,Azioni,,,DE0005557508,6347C68B-B731-47C7-A869-8318CCD07C28
1943,1,Gam,10265962CH,ZH,0,0,GAM.S,,,,,Azioni,,,CH0102659627,884DB462-9434-40E5-B0E4-C5733E032784
